Model,MAE,RMSE,MSE,MAPE
naive_drift_model,2073.6597,2536.0918,6431761.5,51.087671518325806
naive_model,1486.8904,1830.1338,3349389.8,36.67953312397003
naive_seasonal_model,1470.3407,1793.1897,3215529.2,36.08761727809906
-,-,-,-,-
Backtesting Naive Drift Model,,,,
Naive Drift fh=1,372.46487,512.7448,262907.22,3.583085536956787
Naive Drift fh=7,980.37244,1205.1669,1452427.1,9.557130932807922
Naive Drift fh=30,1811.1964,2180.2131,4753329.0,18.172332644462585
-,-,-,-,-
Backtesting Naive Model,,,,
Naive fh=1,373.26227,512.9064,263072.94,3.5903453826904297
Naive fh=7,983.3944,1208.5969,1460706.6,9.576305001974106
Naive fh=30,1864.6648,2258.3762,5100263.5,18.750570714473724
-,-,-,-,-
Backtesting Naive Seasonal Model,,,,
Naive Seasonal fh=1,983.3944,1208.5969,1460706.6,9.576305001974106
Naive Seasonal fh=7,1014.50494,1240.0815,1537802.1,9.78739783167839
Naive Seasonal fh=30,2005.4777,2396.0657,5741130.5,18.11463236808777
-,-,-,-,-
Random Forest,563.0467866280754,750.57956657093,563369.6857538051,13.611385192635241
-,-,-,-,-
Backtesting Random Forest,,,,
Random Forest fh=1,494.1782969692266,628.8679730717325,395474.92755534936,4.766780866904782
Random Forest fh=7,657.6644822047288,805.7236216629215,649190.5545056146,6.250211037088796
Random Forest fh=30,670.7789448366226,815.8698096515121,665643.5463007946,6.3655825703364
-,-,-,-,-
LSTM,793.81287,937.8694,879599.0,18.518197536468506
-,-,-,-,-
Backtesting LSTM Model,,,,
LSTM fh=1,1066.6674,1358.2745,1844909.8,9.872392565011978
LSTM fh=7,2079.8462,2421.4846,5863588.0,19.46624517440796
LSTM fh=30,2132.035,2480.5898,6153325.5,19.939035177230835
-,-,-,-,-
VanillaRNN,356.3705,471.78348,222579.66,7.564099133014679
-,-,-,-,-
Backtesting RNN Model,,,,
RNN fh=1,936.66315,1075.8445,1157441.4,9.82249230146408
RNN fh=7,2188.9497,2523.0056,6365557.5,20.640625059604645
RNN fh=30,2085.0674,2441.745,5962119.5,19.514507055282593
-,-,-,-,-
GRU Model,626.4911,830.3692,689513.0,12.86342740058899
-,-,-,-,-
Backtesting GRU Model,,,,
GRU fh=1,613.8137,781.6963,611049.06,5.98384402692318
GRU fh=7,961.43365,1238.6946,1534364.1,9.196776896715164
GRU fh=30,969.0887,1247.718,1556800.4,9.272917360067368
-,-,-,-,-
Transformer Model,1168.4833,1386.6434,1922780.0,27.851736545562744
-,-,-,-,-
Backtesting Transformer Model,,,,
Transformer fh=1,1000.795,1235.2192,1525766.5,9.502864629030228
Transformer fh=7,1432.2484,1746.0719,3048767.2,13.665373623371124
Transformer fh=30,1591.7247,1889.5446,3570378.5,15.190060436725616
-,-,-,-,-
TFT,1749.765,1983.8313,3935586.5,40.157514810562134
-,-,-,-,-
Backtesting TFT Model,,,,
TFT fh=1,1253.634,1636.6082,2678486.2,12.12352067232132
TFT fh=7,1507.2043,1938.7721,3758837.0,14.691586792469025
TFT fh=30,1441.2745,1781.1416,3172465.2,14.00129646062851
-,-,-,-,-
NBEATS,1183.8182,1386.4272,1922180.6,27.39790678024292
-,-,-,-,-
Backtesting NBEATS Model,,,,
NBEATS fh=1,920.3934,1091.8499,1192136.1,9.645583480596542
NBEATS fh=7,1428.1859,1779.1144,3165248.0,13.400553166866302
NBEATS fh=30,1509.4701,1833.9799,3363482.0,14.18180763721466
-,-,-,-,-
TCN,611.86115,784.6937,615744.25,13.413108885288239
-,-,-,-,-
Backtesting TCN Model,,,,
TCN fh=1,1897.9347,2197.983,4831128.5,17.971839010715485
TCN fh=7,2313.3354,2584.8225,6681307.5,22.087879478931427
TCN fh=30,2326.529,2596.4167,6741379.5,22.219498455524445
-,-,-,-,-
LightGBM,2336.6040376435108,3668.0705252756507,13454741.378395988,58.211187691761054
-,-,-,-,-
Backtesting LightGBM Model,,,,
LightGBM fh=1,515.8232627571253,695.2889421521669,483426.7130790792,4.83850517357065
LightGBM fh=7,2002.822872714098,2339.7960918127665,5474645.751262295,18.63356930411202
LightGBM fh=30,2012.1603977322238,2351.0276115703205,5527330.830366045,18.715029688868544
-,-,-,-,-
XGB,2423.1804,4012.3784,16099181.0,62.0485782623291
-,-,-,-,-
Backtesting XGB Model,,,,
XGB fh=1,686.2511,857.8397,735888.94,6.467684358358383
XGB fh=7,2142.211,2505.2937,6276497.0,19.91207003593445
XGB fh=30,2357.7993,2740.6064,7510924.0,21.922791004180908
-,-,-,-,-
CatBoost,5099.4063705265835,5275.2286611212485,27828037.42711508,99.9934883626203
-,-,-,-,-
Backtesting Catboost Model,,,,
Catboost fh=1,673.6183442153406,887.9594723977928,788472.0246209664,6.31746461872117
Catboost fh=7,1886.5125530547452,2169.849055340087,4708244.922960267,17.886119435960598
Catboost fh=30,1940.8025571444077,2224.9465913979766,4950387.334573474,18.381938650514712
-,-,-,-,-
