Model,MAE,RMSE,MSE,MAPE
naive_drift_model,154.3262,167.03642,27901.166,111.30373477935791
naive_model,118.73677,129.23236,16701.004,86.7102563381195
naive_seasonal_model,131.82172,142.84122,20403.613,95.24239897727966
-,-,-,-,-
Backtesting Naive Drift Model,,,,
Naive Drift fh=1,8.410724,11.769232,138.51482,3.382975235581398
Naive Drift fh=7,21.40647,28.933878,837.16925,8.808209002017975
Naive Drift fh=30,60.04312,67.42237,4545.7764,25.06420612335205
-,-,-,-,-
Backtesting Naive Model,,,,
Naive fh=1,8.420645,11.755033,138.18079,3.3850010484457016
Naive fh=7,21.29484,28.690283,823.1323,8.730535954236984
Naive fh=30,60.270645,66.99532,4488.3735,24.88541007041931
-,-,-,-,-
Backtesting Naive Seasonal Model,,,,
Naive Seasonal fh=1,21.29484,28.690283,823.1323,8.730535954236984
Naive Seasonal fh=7,21.714598,29.238663,854.89935,8.916816115379333
Naive Seasonal fh=30,56.449844,63.567966,4040.8862,24.462221562862396
-,-,-,-,-
Random Forest,39.0888906933834,46.35448125220177,2148.7379321607254,29.952257689001755
-,-,-,-,-
Backtesting Random Forest,,,,
Random Forest fh=1,11.918640041502725,15.467602659177748,239.24673202220254,5.002263315737562
Random Forest fh=7,14.64929417674217,18.562559740738582,344.5686241284888,6.137851707914738
Random Forest fh=30,14.57529082679642,18.56888465678513,344.80347739699016,6.104936689644391
-,-,-,-,-
LSTM,127.823784,172.47252,29746.77,93.64109635353088
-,-,-,-,-
Backtesting LSTM Model,,,,
LSTM fh=1,60.64575,68.25738,4659.0693,24.327561259269714
LSTM fh=7,83.02507,90.047104,8108.4805,33.875566720962524
LSTM fh=30,111.57748,118.87937,14132.305,45.347025990486145
-,-,-,-,-
VanillaRNN,29.928577,39.359882,1549.2003,19.683563709259033
-,-,-,-,-
Backtesting RNN Model,,,,
RNN fh=1,13.5150175,17.581478,309.1084,5.516848340630531
RNN fh=7,41.16932,47.849957,2289.6182,17.472457885742188
RNN fh=30,48.48984,55.312637,3059.4878,20.65945863723755
-,-,-,-,-
GRU Model,58.448055,69.48444,4828.0884,39.58706259727478
-,-,-,-,-
Backtesting GRU Model,,,,
GRU fh=1,37.792873,44.58039,1987.4113,16.571977734565735
GRU fh=7,43.83861,54.5559,2976.3462,19.41489577293396
GRU fh=30,52.700268,65.492035,4289.2065,23.549608886241913
-,-,-,-,-
Transformer Model,169.65584,184.15823,33914.254,115.56578874588013
-,-,-,-,-
Backtesting Transformer Model,,,,
Transformer fh=1,132.40054,133.4237,17801.885,54.85875606536865
Transformer fh=7,166.79117,169.98918,28896.322,68.91725659370422
Transformer fh=30,213.52669,217.48132,47298.125,87.83641457557678
-,-,-,-,-
TFT,415.6932,506.6421,256686.2,304.9217700958252
-,-,-,-,-
Backtesting TFT Model,,,,
TFT fh=1,62.18141,69.015915,4763.1963,25.66923499107361
TFT fh=7,62.817524,73.577065,5413.5845,27.15774178504944
TFT fh=30,106.91418,131.29567,17238.555,45.08301615715027
-,-,-,-,-
NBEATS,93.89245,106.39459,11319.809,64.90203142166138
-,-,-,-,-
Backtesting NBEATS Model,,,,
NBEATS fh=1,64.172035,67.076996,4499.323,26.818427443504333
NBEATS fh=7,165.29889,168.67819,28452.33,68.19514632225037
NBEATS fh=30,189.50035,192.67868,37125.074,78.07278633117676
-,-,-,-,-
TCN,91.55699,110.58025,12227.992,62.74951100349426
-,-,-,-,-
Backtesting TCN Model,,,,
TCN fh=1,98.78622,105.07255,11040.24,40.54095447063446
TCN fh=7,97.380554,103.518456,10716.071,40.01803696155548
TCN fh=30,145.35703,148.8567,22158.318,59.83867645263672
-,-,-,-,-
LightGBM,306.97597336055264,332.98570062879077,110879.47682324667,218.45871179509993
-,-,-,-,-
Backtesting LightGBM Model,,,,
LightGBM fh=1,27.513271332408426,34.276767214635335,1174.8967706862995,11.115161373998061
LightGBM fh=7,112.0132797322676,120.43037045739304,14503.474128504928,46.472970759269124
LightGBM fh=30,140.5866320158848,157.02982625720352,24658.36633436752,58.09791408676038
-,-,-,-,-
XGB,287.53516,323.19394,104454.32,209.27445888519287
-,-,-,-,-
Backtesting XGB Model,,,,
XGB fh=1,15.920434,19.468187,379.01028,6.686064600944519
XGB fh=7,101.683334,110.84959,12287.631,42.56021976470947
XGB fh=30,105.51368,113.686615,12924.646,44.95358169078827
-,-,-,-,-
CatBoost,168.46091603285467,176.42944060751861,31127.347513081935,99.85772140705126
-,-,-,-,-
Backtesting Catboost Model,,,,
Catboost fh=1,36.963878624310325,42.65947389744307,1819.8307132066268,15.951270005443993
Catboost fh=7,59.203594943081775,68.68455452610726,4717.568030449801,25.467680655336654
Catboost fh=30,59.054410649024064,68.3709215421419,4674.582912521724,25.406062719714534
-,-,-,-,-
