Model,MAE,RMSE,MSE,MAPE
naive_drift_model,0.06761329,0.102970555,0.010602935,15.662100911140442
naive_model,0.09053453,0.117963225,0.013915322,22.113530337810516
naive_seasonal_model,0.06973489,0.09904533,0.009809976,16.73656702041626
-,-,-,-,-
Backtesting Naive Drift Model,,,,
Naive Drift fh=1,0.0114940405,0.015142316,0.00022928974,3.1260009855031967
Naive Drift fh=7,0.030302519,0.03858294,0.0014886431,8.335664868354797
Naive Drift fh=30,0.07710658,0.087572426,0.00766893,21.932174265384674
-,-,-,-,-
Backtesting Naive Model,,,,
Naive fh=1,0.011488295,0.015110093,0.00022831492,3.1225647777318954
Naive fh=7,0.029872341,0.03804984,0.0014477902,8.19128304719925
Naive fh=30,0.07486702,0.085693054,0.0073432997,21.062467992305756
-,-,-,-,-
Backtesting Naive Seasonal Model,,,,
Naive Seasonal fh=1,0.029872341,0.03804984,0.0014477902,8.19128304719925
Naive Seasonal fh=7,0.029279547,0.037104473,0.0013767418,8.065465092658997
Naive Seasonal fh=30,0.07562307,0.08506788,0.0072365445,23.212508857250214
-,-,-,-,-
Random Forest,0.02961623297522752,0.038286184992716105,0.00146583196129648,7.82737885828344
-,-,-,-,-
Backtesting Random Forest,,,,
Random Forest fh=1,0.025839823997684905,0.030980398062519444,0.0009597850641121585,6.987820988592978
Random Forest fh=7,0.028944752071600074,0.034453828157855006,0.0011870662747310026,7.840700602298785
Random Forest fh=30,0.028910835457961144,0.03447479201098981,0.0011885112842010066,7.824033792850507
-,-,-,-,-
LSTM,0.37621477,0.55961984,0.31317434,108.86417627334595
-,-,-,-,-
Backtesting LSTM Model,,,,
LSTM fh=1,0.063177675,0.07098494,0.0050388617,17.849797010421753
LSTM fh=7,0.051660385,0.06034513,0.0036415344,14.963975548744202
LSTM fh=30,0.076786935,0.08308831,0.0069036675,21.971844136714935
-,-,-,-,-
VanillaRNN,0.1390582,0.20533101,0.042160824,37.3634397983551
-,-,-,-,-
Backtesting RNN Model,,,,
RNN fh=1,0.018095003,0.023002887,0.0005291328,4.933013394474983
RNN fh=7,0.07591762,0.09266527,0.008586853,22.223319113254547
RNN fh=30,0.08189844,0.09741608,0.009489893,24.179470539093018
-,-,-,-,-
GRU Model,0.17989483,0.22595093,0.051053822,48.902201652526855
-,-,-,-,-
Backtesting GRU Model,,,,
GRU fh=1,0.029953208,0.035227925,0.0012410068,7.926450669765472
GRU fh=7,0.061623644,0.073035344,0.0053341617,18.44426691532135
GRU fh=30,0.07272896,0.08482606,0.00719546,21.81440144777298
-,-,-,-,-
Transformer Model,0.25015846,0.42626926,0.18170549,70.5041766166687
-,-,-,-,-
Backtesting Transformer Model,,,,
Transformer fh=1,0.09495957,0.09790868,0.009586111,27.020910382270813
Transformer fh=7,0.08152984,0.08821832,0.007782472,23.36507737636566
Transformer fh=30,0.10724269,0.112532355,0.01266353,30.50619661808014
-,-,-,-,-
TFT,0.10852887,0.13608238,0.018518414,31.670433282852173
-,-,-,-,-
Backtesting TFT Model,,,,
TFT fh=1,0.07772989,0.0937904,0.008796639,22.99083322286606
TFT fh=7,0.05362678,0.06803512,0.004628777,14.840991795063019
TFT fh=30,0.0510867,0.06996405,0.004894968,13.909968733787537
-,-,-,-,-
NBEATS,0.27823868,0.37005287,0.13693912,79.61786985397339
-,-,-,-,-
Backtesting NBEATS Model,,,,
NBEATS fh=1,0.08834076,0.094436735,0.008918297,25.100305676460266
NBEATS fh=7,0.08819482,0.10247215,0.010500542,23.781977593898773
NBEATS fh=30,0.11684576,0.12907992,0.016661625,31.603270769119263
-,-,-,-,-
TCN,0.09123319,0.11908531,0.014181312,25.904840230941772
-,-,-,-,-
Backtesting TCN Model,,,,
TCN fh=1,0.04450475,0.051722936,0.0026752623,12.948071956634521
TCN fh=7,0.0442505,0.05075615,0.0025761866,12.85005658864975
TCN fh=30,0.06300638,0.072379835,0.005238841,18.92298012971878
-,-,-,-,-
LightGBM,0.08147241845066718,0.10496418616100685,0.0110174803764425,22.23486560417039
-,-,-,-,-
Backtesting LightGBM Model,,,,
LightGBM fh=1,0.038567600503529136,0.0467933957366068,0.002189621884562691,10.79425729626606
LightGBM fh=7,0.04971845972629348,0.05958365178743139,0.003550211560325876,13.805992711275907
LightGBM fh=30,0.0552471244917308,0.06495073798128458,0.0042185983643134835,15.20350402938229
-,-,-,-,-
XGB,0.17687371,0.29213762,0.0853444,51.70527100563049
-,-,-,-,-
Backtesting XGB Model,,,,
XGB fh=1,0.0564855,0.067670316,0.004579271,15.085981786251068
XGB fh=7,0.07067501,0.08817189,0.0077742827,18.805746734142303
XGB fh=30,0.06808703,0.08548346,0.0073074223,18.08832883834839
-,-,-,-,-
CatBoost,0.21337860986488905,0.22944657688390216,0.05264573164374043,56.9141195979738
-,-,-,-,-
Backtesting Catboost Model,,,,
Catboost fh=1,0.064154170385716,0.07447955580070911,0.005547204232270943,19.576111730817157
Catboost fh=7,0.03569803768091004,0.04306755508024937,0.001854814300590313,10.177601513146818
Catboost fh=30,0.03590125736369299,0.043532952688243136,0.001895117969756815,10.279709909990524
-,-,-,-,-
