Model,MAE,RMSE,MSE,MAPE
naive_drift_model,27.571743,35.36338,1250.5686,9.495620429515839
naive_model,29.439632,37.438408,1401.6345,10.154842585325241
naive_seasonal_model,28.045609,35.864544,1286.2656,9.67036634683609
-,-,-,-,-
Backtesting Naive Drift Model,,,,
Naive Drift fh=1,4.328587,6.5064173,42.333466,1.5816226601600647
Naive Drift fh=7,11.615286,16.592861,275.32303,4.280217736959457
Naive Drift fh=30,25.074986,34.384552,1182.2975,9.529222548007965
-,-,-,-,-
Backtesting Naive Model,,,,
Naive fh=1,4.333034,6.5033574,42.293655,1.5829917043447495
Naive fh=7,11.470879,16.542318,273.64832,4.223451018333435
Naive fh=30,24.557089,33.78821,1141.6433,9.241335839033127
-,-,-,-,-
Backtesting Naive Seasonal Model,,,,
Naive Seasonal fh=1,11.4131565,16.457037,270.83405,4.196736216545105
Naive Seasonal fh=7,11.470879,16.542318,273.64832,4.223451018333435
Naive Seasonal fh=30,26.30517,36.352432,1321.4994,9.942656755447388
-,-,-,-,-
Random Forest,7.73852168565139,10.523645893825044,110.7471228986207,2.728631278642989
-,-,-,-,-
Backtesting Random Forest,,,,
Random Forest fh=1,11.085017596295147,13.769551163958782,189.60053925687865,4.491534229472935
Random Forest fh=7,14.062471920179721,17.40229312686855,302.8398060734564,5.722663302009618
Random Forest fh=30,14.603295541779712,18.121379581751697,328.3843979459273,6.020283480029287
-,-,-,-,-
LSTM,14.545814,19.163757,367.2496,5.1331959664821625
-,-,-,-,-
Backtesting LSTM Model,,,,
LSTM fh=1,22.484402,28.246264,797.8514,8.04363489151001
LSTM fh=7,25.534971,32.660614,1066.7157,9.328550845384598
LSTM fh=30,25.874966,33.58727,1128.1047,9.606201201677322
-,-,-,-,-
VanillaRNN,21.718933,27.261503,743.1895,7.830927520990372
-,-,-,-,-
Backtesting RNN Model,,,,
RNN fh=1,8.878779,11.361866,129.092,3.3176202327013016
RNN fh=7,14.60138,19.98231,399.29266,5.404166877269745
RNN fh=30,14.95391,20.604185,424.5324,5.597135052084923
-,-,-,-,-
GRU Model,15.989784,19.01896,361.72086,5.875931307673454
-,-,-,-,-
Backtesting GRU Model,,,,
GRU fh=1,9.533598,11.815941,139.61646,3.5936515778303146
GRU fh=7,22.329243,26.431637,698.6315,8.617406338453293
GRU fh=30,23.778868,27.757778,770.49426,9.27182286977768
-,-,-,-,-
Transformer Model,12.054605,16.453783,270.727,4.493984580039978
-,-,-,-,-
Backtesting Transformer Model,,,,
Transformer fh=1,12.542677,16.772833,281.32794,4.552311450242996
Transformer fh=7,17.256378,23.61293,557.57043,6.374388188123703
Transformer fh=30,17.674288,24.108147,581.2027,6.613132357597351
-,-,-,-,-
TFT,31.830997,36.596645,1339.3145,11.91936656832695
-,-,-,-,-
Backtesting TFT Model,,,,
TFT fh=1,20.343718,25.206064,635.34564,8.167208731174469
TFT fh=7,30.629753,37.491154,1405.5867,11.87376081943512
TFT fh=30,30.388044,37.243263,1387.0605,11.862675100564957
-,-,-,-,-
NBEATS,40.85455,49.733562,2473.4272,14.527110755443573
-,-,-,-,-
Backtesting NBEATS Model,,,,
NBEATS fh=1,16.983393,22.475626,505.15378,6.125824153423309
NBEATS fh=7,36.91197,45.472027,2067.7053,13.892187178134918
NBEATS fh=30,39.056595,48.051117,2308.9097,14.827945828437805
-,-,-,-,-
TCN,11.315074,16.082388,258.64322,4.092276468873024
-,-,-,-,-
Backtesting TCN Model,,,,
TCN fh=1,24.271746,30.50603,930.6178,9.012019634246826
TCN fh=7,24.457233,30.687939,941.74963,9.12434235215187
TCN fh=30,26.000505,32.70202,1069.422,9.820515662431717
-,-,-,-,-
LightGBM,22.4332008835279,29.908322803299487,894.5077729063642,8.536549177969235
-,-,-,-,-
Backtesting LightGBM Model,,,,
LightGBM fh=1,17.70586611963584,22.74949669272433,517.5395997722752,7.387380898776143
LightGBM fh=7,30.760619057644835,36.128860681868325,1305.2945741698509,12.314210394632871
LightGBM fh=30,31.701637891795567,36.90963590775585,1362.3212228431,12.809538040767283
-,-,-,-,-
XGB,20.54436,23.406837,547.88,7.481040060520172
-,-,-,-,-
Backtesting XGB Model,,,,
XGB fh=1,14.7907295,19.194897,368.44406,6.198099255561829
XGB fh=7,31.271946,38.256916,1463.5916,12.543685734272003
XGB fh=30,36.78297,45.474564,2067.9358,14.640022814273834
-,-,-,-,-
CatBoost,272.18260028920616,273.1626200064001,74617.81696876093,99.85306161777355
-,-,-,-,-
Backtesting Catboost Model,,,,
Catboost fh=1,12.214853150907688,14.797013722935931,218.95161511675428,4.812651249478255
Catboost fh=7,28.323828695832642,33.453011654469684,1119.1039887540846,11.389076979040578
Catboost fh=30,29.997958089767675,35.25630447647635,1243.0070053380066,12.178798585983909
-,-,-,-,-
