Model,MAE,RMSE,MSE,MAPE
naive_drift_model,153.2451,212.94997,45347.688,10.125885903835297
naive_model,158.69362,220.35736,48557.363,10.484781116247177
naive_seasonal_model,165.91911,225.20117,50715.57,11.0282763838768
-,-,-,-,-
Backtesting Naive Drift Model,,,,
Naive Drift fh=1,32.90657,47.98967,2303.0083,1.7453797161579132
Naive Drift fh=7,82.68687,110.3772,12183.125,4.393941909074783
Naive Drift fh=30,151.81473,190.98409,36474.92,7.940972596406937
-,-,-,-,-
Backtesting Naive Model,,,,
Naive fh=1,32.879143,48.00248,2304.238,1.743418350815773
Naive fh=7,82.606255,110.92706,12304.813,4.382326453924179
Naive fh=30,153.86255,196.73177,38703.387,7.979430258274078
-,-,-,-,-
Backtesting Naive Seasonal Model,,,,
Naive Seasonal fh=1,82.140656,110.277275,12161.077,4.3659985065460205
Naive Seasonal fh=7,82.606255,110.92706,12304.813,4.382326453924179
Naive Seasonal fh=30,169.81424,217.12634,47143.85,8.79250094294548
-,-,-,-,-
Random Forest,82.22366654314932,106.24528313744852,11288.060188956604,5.648606379392551
-,-,-,-,-
Backtesting Random Forest,,,,
Random Forest fh=1,45.1000732671748,61.11466364962939,3735.0021130073324,2.4289354190896613
Random Forest fh=7,54.90372323982371,73.33141906632794,5377.4970222814045,2.9545846222507275
Random Forest fh=30,54.88561931061256,73.61985125316144,5419.882498537616,2.9287056069736654
-,-,-,-,-
LSTM,157.84311,171.2818,29337.457,11.722762882709503
-,-,-,-,-
Backtesting LSTM Model,,,,
LSTM fh=1,142.25937,166.58205,27749.578,7.687699049711227
LSTM fh=7,111.3087,138.84453,19277.803,6.151995062828064
LSTM fh=30,140.76292,174.27693,30372.45,7.790946960449219
-,-,-,-,-
VanillaRNN,230.47014,265.1605,70310.086,16.27746969461441
-,-,-,-,-
Backtesting RNN Model,,,,
RNN fh=1,48.098675,65.92699,4346.3677,2.5666866451501846
RNN fh=7,100.42676,127.19116,16177.591,5.405747890472412
RNN fh=30,135.50603,158.09587,24994.303,7.411036640405655
-,-,-,-,-
GRU Model,177.06532,234.24675,54871.54,11.868198961019516
-,-,-,-,-
Backtesting GRU Model,,,,
GRU fh=1,67.73215,92.87641,8626.027,3.5995759069919586
GRU fh=7,99.833176,139.36311,19422.078,5.254754051566124
GRU fh=30,125.70601,164.79044,27155.887,6.5369658172130585
-,-,-,-,-
Transformer Model,147.814,167.91164,28194.316,11.11295372247696
-,-,-,-,-
Backtesting Transformer Model,,,,
Transformer fh=1,63.1959,82.262955,6767.1934,3.352351114153862
Transformer fh=7,104.24446,134.12769,17990.236,5.595950037240982
Transformer fh=30,124.52566,162.63847,26451.271,6.682135909795761
-,-,-,-,-
TFT,184.79868,213.72012,45676.29,13.5310098528862
-,-,-,-,-
Backtesting TFT Model,,,,
TFT fh=1,148.29413,184.73833,34128.25,7.993411272764206
TFT fh=7,304.71704,367.90668,135355.33,16.172979772090912
TFT fh=30,538.64435,617.41174,381197.25,27.747440338134766
-,-,-,-,-
NBEATS,158.22136,185.413,34377.98,12.058710306882858
-,-,-,-,-
Backtesting NBEATS Model,,,,
NBEATS fh=1,147.5027,182.35922,33254.887,8.117743581533432
NBEATS fh=7,188.8271,241.84238,58487.734,10.4669950902462
NBEATS fh=30,225.5737,285.58945,81561.336,12.312614172697067
-,-,-,-,-
TCN,353.36743,380.67654,144914.64,26.15286409854889
-,-,-,-,-
Backtesting TCN Model,,,,
TCN fh=1,139.59587,186.0635,34619.63,7.720819115638733
TCN fh=7,138.30284,184.07187,33882.453,7.626467943191528
TCN fh=30,202.36575,257.38983,66249.52,11.145611107349396
-,-,-,-,-
LightGBM,157.9673480428876,211.65361256919314,44797.251713590114,10.581138104592194
-,-,-,-,-
Backtesting LightGBM Model,,,,
LightGBM fh=1,54.44575014886004,68.1705661229982,4647.226085530069,2.9367871366671405
LightGBM fh=7,141.61404725077583,172.94526483630372,29910.064629299228,7.6438785734139785
LightGBM fh=30,337.1540342960845,468.863679396425,219833.14985715362,17.392883650180156
-,-,-,-,-
XGB,161.37057,217.72221,47402.965,10.770542174577713
-,-,-,-,-
Backtesting XGB Model,,,,
XGB fh=1,65.70046,92.22916,8506.217,3.563326597213745
XGB fh=7,175.86873,218.38277,47691.035,9.37148705124855
XGB fh=30,377.60037,514.3051,264509.75,18.846958875656128
-,-,-,-,-
CatBoost,1368.743580535028,1378.2211083542231,1899493.4235131436,99.97979628122351
-,-,-,-,-
Backtesting Catboost Model,,,,
Catboost fh=1,100.28439474335376,128.01457502552066,16387.73141896466,5.339608401901517
Catboost fh=7,236.2407289711454,298.60471043365374,89164.77309316621,12.3036665100619
Catboost fh=30,244.1141280179611,324.7759363046185,105479.4088025416,12.61026598536789
-,-,-,-,-
