Model,MAE,RMSE,MSE,MAPE
naive_drift_model,5.4320617,7.147777,51.090717,27.836808562278748
naive_model,5.557942,7.3106465,53.445553,28.436952829360962
naive_seasonal_model,5.37971,7.0684037,49.962334,27.85857617855072
-,-,-,-,-
Backtesting Naive Drift Model,,,,
Naive Drift fh=1,1.359387,2.373047,5.631353,3.450864553451538
Naive Drift fh=7,3.567383,6.3856006,40.775894,9.645450115203857
Naive Drift fh=30,9.405025,14.937256,223.12161,22.093886137008667
-,-,-,-,-
Backtesting Naive Model,,,,
Naive fh=1,1.3582966,2.3746965,5.639183,3.4448951482772827
Naive fh=7,3.5718923,6.4295206,41.338734,9.61133986711502
Naive fh=30,9.517022,15.3654995,236.09859,21.680650115013123
-,-,-,-,-
Backtesting Naive Seasonal Model,,,,
Naive Seasonal fh=1,3.538655,6.3817663,40.726944,9.557750076055527
Naive Seasonal fh=7,3.5718923,6.4295206,41.338734,9.61133986711502
Naive Seasonal fh=30,10.582832,16.808607,282.5293,23.860034346580505
-,-,-,-,-
Random Forest,1.919882939100299,2.669208855954222,7.1246759167044456,11.709204213225018
-,-,-,-,-
Backtesting Random Forest,,,,
Random Forest fh=1,1.9546948559881556,3.4553698263540573,11.93958063687807,5.002466288900299
Random Forest fh=7,2.453771846049777,4.567468384886883,20.86176744694119,5.92714052897709
Random Forest fh=30,2.69214193429005,5.226008627220178,27.311166171779735,6.149710479096647
-,-,-,-,-
LSTM,5.0199914,6.3168454,39.902534,27.921900153160095
-,-,-,-,-
Backtesting LSTM Model,,,,
LSTM fh=1,4.901152,8.141414,66.282616,12.679855525493622
LSTM fh=7,5.9208345,10.231025,104.67387,15.266351401805878
LSTM fh=30,6.248349,10.549247,111.2866,16.038773953914642
-,-,-,-,-
VanillaRNN,13.697518,17.089611,292.05478,84.74001288414001
-,-,-,-,-
Backtesting RNN Model,,,,
RNN fh=1,7.2401657,7.917107,62.680588,28.66653800010681
RNN fh=7,5.674722,8.261722,68.25604,17.567187547683716
RNN fh=30,7.0661187,9.407491,88.500885,23.234567046165466
-,-,-,-,-
GRU Model,8.435069,9.996155,99.92311,48.34659397602081
-,-,-,-,-
Backtesting GRU Model,,,,
GRU fh=1,2.9870787,4.230063,17.89343,9.504271298646927
GRU fh=7,5.495396,8.093387,65.502914,16.822782158851624
GRU fh=30,6.3101487,8.820426,77.79991,19.90894377231598
-,-,-,-,-
Transformer Model,10.623137,11.946647,142.72237,66.69185757637024
-,-,-,-,-
Backtesting Transformer Model,,,,
Transformer fh=1,10.102612,12.793915,163.68425,29.823443293571472
Transformer fh=7,8.884189,13.803312,190.53142,21.784234046936035
Transformer fh=30,12.735008,19.129015,365.91922,29.813599586486816
-,-,-,-,-
TFT,7.4276357,8.462626,71.61605,43.305400013923645
-,-,-,-,-
Backtesting TFT Model,,,,
TFT fh=1,13.054715,17.953236,322.3187,39.71021771430969
TFT fh=7,16.024473,21.780523,474.3912,48.15494120121002
TFT fh=30,16.428556,22.21796,493.63776,48.25638234615326
-,-,-,-,-
NBEATS,5.9865923,8.085252,65.3713,43.04907023906708
-,-,-,-,-
Backtesting NBEATS Model,,,,
NBEATS fh=1,11.856838,13.860288,192.10757,44.04565989971161
NBEATS fh=7,12.979182,17.074652,291.54373,40.587761998176575
NBEATS fh=30,16.190903,20.316637,412.76578,50.52260756492615
-,-,-,-,-
TCN,3.8185933,4.390121,19.27316,29.127421975135803
-,-,-,-,-
Backtesting TCN Model,,,,
TCN fh=1,6.0884356,8.530854,72.775475,21.28821313381195
TCN fh=7,6.1798387,8.634847,74.56058,21.593745052814484
TCN fh=30,7.4688473,10.005134,100.1027,25.874096155166626
-,-,-,-,-
LightGBM,3.9911846705505734,4.928034955362754,24.285528521277175,24.161180765920925
-,-,-,-,-
Backtesting LightGBM Model,,,,
LightGBM fh=1,3.3931557380404938,7.986723881307995,63.78775835625545,6.603959770523334
LightGBM fh=7,11.265590664810246,21.584401060796065,465.8863691532943,30.690691564964734
LightGBM fh=30,24.93248967766853,31.446975250088478,988.9122523796773,86.52074012033614
-,-,-,-,-
XGB,4.521293,6.062436,36.75313,24.14165884256363
-,-,-,-,-
Backtesting XGB Model,,,,
XGB fh=1,3.2373595,5.9351726,35.226273,7.6797619462013245
XGB fh=7,11.188146,18.397654,338.47366,31.15435540676117
XGB fh=30,17.19495,21.949354,481.77417,55.958718061447144
-,-,-,-,-
CatBoost,16.28249407760818,17.13458975964441,293.594166231311,99.52724069213555
-,-,-,-,-
Backtesting Catboost Model,,,,
Catboost fh=1,10.660571049752846,11.750836264647873,138.0821529185636,43.98593444177908
Catboost fh=7,14.077393280406184,15.11504516370203,228.46459030075215,58.47379047630824
Catboost fh=30,17.202607880585877,18.459583965145264,340.7562401662481,69.20389366326751
-,-,-,-,-
